step,time,KE,PE,E_total,E_per_atom
3070,15.35,102.26733206873958,-620.6057817732107,-518.338449704471,-4.799430089856213
3080,15.4,112.16551509011524,-630.504089555622,-518.3385744655068,-4.799431245050989
3090,15.450000000000001,124.77666072445149,-643.1236820417065,-518.347021317255,-4.79950945664125
3100,15.5,115.88100000000001,-640.3387887447574,-524.4577887447574,-4.856090636525532
3110,15.55,116.34624926947566,-640.8362856754817,-524.4900364060061,-4.8563892259815375
3120,15.6,112.45672272608932,-636.921648441146,-524.4649257150567,-4.856156719583858
3130,15.65,114.75698553888812,-639.2290229835625,-524.4720374446744,-4.85622256893217
3140,15.700000000000001,118.54674526312596,-643.0483060065452,-524.5015607434193,-4.856495932809438
3150,15.75,107.36666120688258,-631.8353126769344,-524.4686514700519,-4.8561912173152955
3160,15.8,121.15259494548474,-645.6603017151152,-524.5077067696304,-4.856552840459541
3170,15.85,116.09557725334105,-640.5880764728437,-524.4924992195026,-4.856412029810209
3180,15.9,109.33498869337242,-633.829676284676,-524.4946875913035,-4.8564322925120695
3190,15.950000000000001,111.96070552358175,-636.4364140080946,-524.4757084845129,-4.856256560041786
3200,16.0,115.88099999999986,-638.1883417548453,-522.3073417548454,-4.836179090322643
3210,16.05,119.59198499430448,-641.9071257399372,-522.3151407456328,-4.836251303200304
3220,16.1,117.29205748480763,-639.6021641965401,-522.3101067117325,-4.8362046917753005
3230,16.15,115.85570093776064,-638.1930456988674,-522.3373447611068,-4.836456895936174
3240,16.2,108.62499810488941,-630.9676909679856,-522.3426928630962,-4.836506415399039
3250,16.25,100.45528950319306,-622.7512005611059,-522.2959110579128,-4.83607325053623
3260,16.3,120.9119530199989,-643.2492558708419,-522.337302850843,-4.836456507878176
3270,16.35,120.49896539468405,-642.8165141482935,-522.3175487536095,-4.8362735995704575
3280,16.4,119.93883881236978,-642.2839987828067,-522.345159970437,-4.836529258985528
